Episode;Rewards
534;99.64
535;99.8
536;98.6
537;97.28
538;98.48
539;98.56
540;99.36
541;99.36
542;99.76
543;98.04
544;99.84
545;99.72
546;99.8
547;99.8
548;98.8
549;99.44
550;99.52
551;99.56
552;99.44
553;99.8
554;98.96
555;99.32
556;99.6
557;99.76
558;99.44
559;99.84
560;99
561;98.84
562;99.84
563;99.08
564;98.2
565;99.8
566;99.88
567;98.76
568;99.16
569;99.88
570;99.68
571;99.76
572;99.12
573;98.8
574;99.8
575;99.88
576;99.08
577;99.24
578;99.8
579;99.12
580;96.52
581;99.72
582;99.36
583;98.36
584;99.72
585;99.68
586;99.32
587;99.8
588;98.72
589;98.8
590;99.88
591;99.88
592;99.44
593;99.76
594;98.72
595;99.56
596;97.8
597;99.76
598;99.4
599;99.76
600;99.72
601;99.56
602;98.56
603;98.08
604;99.6
605;99.16
606;99.84
607;99.64
608;99.72
609;98.76
610;98.8
611;98.6
612;98.56
613;99
614;99.44
615;99.68
616;98.88
617;98.24
618;99.76
619;97.4
620;99.6
621;-100.44
622;99.8
623;99.6
624;98.68
625;98.16
626;99.08
627;99.8
628;99.68
629;99.68
630;99.6
631;99.52
632;99.88
633;99.88
634;99.68
635;99.36
636;99.8
637;98.96
638;98.04
639;99.76
640;99.68
641;99.68
642;97.52
643;99.84
644;99.64
645;99.48
646;99.76
647;97.92
648;96.84
649;98.6
650;99.52
651;99.88
652;98.6
653;99.8
654;99.88
655;99.64
656;99.72
657;99.04
658;99.08
659;97.32
660;99.52
661;99.88
662;99.76
663;99.64
664;99.76
665;98.88
666;99.8
667;99.6
668;99.08
669;98.16
670;99.36
671;99.8
672;99.32
673;98.48
674;98.16
675;99.6
676;99.52
677;99.64
678;98.72
679;99.76
680;99.28
681;99.84
682;99.16
683;99.4
684;99.76
685;99.8
686;99.64
687;97.96
688;98.64
689;99.28
690;98.68
691;99
692;99.52
693;98.8
694;99
695;99.76
696;99.8
697;99.52
698;98.36
699;99.72
700;99.76
701;99.72
702;96.8
703;99.72
704;97.08
705;98.96
706;-100.56
707;98.28
708;99.44
709;99.84
710;99.72
711;98.52
712;99.48
713;99.8
714;99.64
715;99.44
716;97.24
717;99.72
718;98.8
719;99.52
720;98.72
721;99.6
722;99.32
723;97.24
724;99.64
725;99
726;98.64
727;99.24
728;98.2
729;99.44
730;98.96
731;98.96
732;99.72
733;97.08
734;98.56
735;99.88
736;99.52
737;98.56
738;99.68
739;99.84
740;99.44
741;99.88
742;99.72
743;98.92
744;99.72
745;99.72
746;99.68
747;99.8
748;98.16
749;99.4
750;99.8
751;99.48
752;98.8
753;99.4
754;-100.36
755;99.08
756;99.56
757;99.84
758;98.68
759;99.36
760;99.88
761;99.72
762;99.88
763;99.8
764;99.84
765;99.48
766;99.68
767;99.36
768;99.8
769;99.48
770;98.52
771;99.32
772;99.4
773;99.4
774;99.48
775;98.52
776;99.12
777;99
778;98.72
779;98.44
780;99.88
781;99
782;99.72
783;99
784;98.2
785;99.68
786;99.64
787;99.28
788;99.76
789;99.48
790;99.6
791;99.84
792;98.08
793;98.88
794;99.72
795;99.2
796;98.96
797;98.64
798;99.2
799;99.84
800;98.16
801;99.68
802;99.68
803;99.4
804;99.76
805;99.48
806;99.4
807;99.8
808;96.92
809;99.36
810;99
811;96.48
812;99.8
813;99.48
814;99.68
815;98.92
816;99.04
817;99.84
818;98.84
819;99.68
820;97.56
821;99.4
822;99.44
823;98.72
824;99.68
825;99.64
826;99.56
827;99.76
828;99.6
829;99.88
830;99.8
831;99.84
832;97.68
833;99.84
834;99.6
835;98.04
836;97.44
837;99.56
838;98.96
839;98.04
840;99.24
841;98.92
842;99.76
843;99.84
844;99.88
845;99.4
846;99.8
847;99.64
848;99.28
849;99.48
850;99.76
851;99.84
852;99
853;98.88
854;99.64
855;98.8
856;99.84
857;99.88
858;99.64
859;99.24
860;99.44
861;99.76
862;99.2
863;99.88
864;97.88
865;98.52
866;97
867;99.72
868;97.76
869;99.84
870;98.48
871;99.36
872;99.48
873;98.32
874;99.16
875;99.72
876;99.2
877;99.04
878;99.2
879;99.84
880;99.8
881;99.76
882;99.12
883;99.24
884;99.08
885;99.84
886;99.4
887;98
888;98.68
889;99.72
890;99.72
891;99.84
892;99.88
893;99
894;98.88
895;98.08
896;99.44
897;99.8
898;97.92
899;99.76
900;99.68
901;99.52
902;99.88
903;99.36
904;99.24
905;98.4
906;99.52
907;99.68
908;99.8
909;99.48
910;99.88
911;97.8
912;99.84
913;99.2
914;99.84
915;99.76
916;99.68
917;99.56
918;99.2
919;98.56
920;99.8
921;98.6
922;99.68
923;98.12
924;97.64
925;99.8
926;99.4
927;99.88
928;99.64
929;98.96
930;-102
931;99.68
932;99.36
933;99.56
934;99.12
935;99.84
936;99.48
937;99.68
938;98.76
939;99.2
940;99.88
941;99.76
942;99.84
943;99.8
944;99.48
945;99.12
946;99.36
947;99.84
948;98.48
949;99.52
950;99.6
951;98.32
952;99.04
953;99.84
954;99.32
955;99.8
956;99.16
957;99.44
958;99.48
959;98.56
960;99.52
961;99.44
962;99.28
963;99.4
964;99.2
965;98.4
966;99.6
967;96.32
968;99.88
969;99.64
970;99.6
971;99.8
972;99.8
973;99.04
974;99.52
975;98.8
976;99.72
977;99.64
978;98.6
979;99.4
980;99.36
981;98.84
982;98.68
983;99.76
984;99.28
985;99.68
986;98.08
987;99.72
988;98.72
989;99.72
990;99.44
991;98.64
992;99.4
993;99.88
994;98.8
995;99
996;99.76
997;99.44
998;99.8
999;99.2
1000;97.64
1001;98.52
1002;98.44
1003;99.44
1004;99.16
1005;98.92
1006;98.52
1007;-100.88
1008;99.12
1009;99.88
1010;99.16
1011;99.72
1012;99.68
1013;99.56
1014;99.16
1015;99.68
1016;99.88
1017;99.44
1018;98.88
1019;99.56
1020;99.2
1021;98.44
1022;98.68
1023;99.68
1024;96.28
1025;99.68
1026;99.68
1027;98.72
1028;98.08
1029;99.44
1030;99.2
1031;99.8
1032;99.68
1033;99.72
1034;99.6
1035;99.88
1036;99.6
1037;98.28
1038;99.72
1039;99.68
1040;99.88
1041;99.52
1042;99.56
1043;99.56
1044;98.8
1045;95.36
1046;98.92
1047;96.64
1048;99.84
1049;99.48
1050;99.48
1051;99.36
1052;98.96
1053;98.56
1054;99.48
1055;99.28
1056;98.64
1057;99.68
1058;98
1059;99.84
1060;99.08
1061;99.8
1062;-100.36
1063;99.6
1064;99.32
1065;94.48
1066;99.76
1067;99.88
1068;99.76
1069;99.24
1070;98.64
1071;99.4
1072;99.24
1073;99.12
1074;99.52
1075;99.48
1076;98.36
1077;99.4
1078;99.44
1079;99.6
1080;99.8
1081;99.84
1082;98.96
1083;99.48
1084;98.16
1085;99.52
1086;99.04
1087;98.64
1088;98.88
1089;99.2
1090;99.88
1091;99.24
1092;99.32
1093;98.24
1094;97.6
1095;99.6
1096;98.52
1097;98.68
1098;98.36
1099;99.4
1100;99.8
1101;98.96
1102;99.28
1103;99.52
1104;99.84
1105;99.84
1106;99.84
1107;98.36
1108;99.64
1109;99.24
1110;99.88
1111;99.36
1112;99.32
1113;99.24
1114;99.8
1115;99.68
1116;99.84
1117;99.88
1118;99.8
1119;99.84
1120;99.84
1121;99
1122;98.4
1123;98.8
1124;99.44
1125;99.32
1126;99.8
1127;99.36
1128;99.84
1129;99.84
1130;99.4
1131;99.64
1132;99.8
1133;97.96
1134;99.8
1135;99.4
1136;99.64
1137;99.04
1138;97.88
1139;99.64
1140;98.04
1141;99.84
1142;97.88
1143;98.04
1144;99.88
1145;99.4
1146;-100.76
1147;99.88
1148;98.96
1149;99.72
1150;98.6
1151;99.76
1152;99.04
1153;99.72
1154;99.88
1155;99.72
1156;99.36
1157;99.72
1158;99.32
1159;99.6
1160;99.76
1161;99.84
1162;99.8
1163;98.96
1164;99.08
1165;99.88
1166;99.36
1167;98.96
1168;98.32
1169;99.76
1170;98.68
1171;99.84
1172;99.16
1173;98.2
1174;99.4
1175;99.84
1176;99.4
1177;99.84
1178;99.24
1179;99.84
1180;99.64
1181;99.84
1182;99.04
1183;99.32
1184;97.52
1185;99.8
1186;99.88
1187;99.2
1188;99.44
1189;99.6
1190;99.24
1191;99.76
1192;99.72
1193;99.48
1194;99.04
1195;99.88
1196;99.84
1197;99.52
1198;99.88
1199;99.36
1200;99.56
1201;99.52
1202;99.72
1203;99.52
1204;99.6
1205;99.72
1206;99.72
1207;99.68
1208;99.48
1209;97.16
1210;99.76
1211;99.52
1212;99.36
1213;98.28
1214;99.12
1215;99.6
1216;99.84
1217;99.4
1218;99.24
1219;99.64
1220;99.36
1221;98.96
1222;98.64
1223;99.8
1224;97.64
1225;99.68
1226;99.36
1227;99.88
1228;99.8
1229;98.44
1230;99.88
1231;99.32
1232;99.8
1233;99.56
1234;99.8
1235;99.4
1236;99.56
1237;99.12
1238;98.36
1239;99.6
1240;98.32
1241;99.72
1242;99.88
1243;99.2
1244;98.52
1245;99.4
1246;99.32
1247;99.76
1248;99.56
1249;99.6
1250;99.04
1251;99.68
1252;99.32
1253;99.6
1254;99.24
1255;99.84
1256;99.64
1257;99.52
1258;97.8
1259;99.08
1260;99.88
1261;99.88
1262;99.56
1263;99.72
1264;98.84
1265;99.64
1266;99.8
1267;98.12
1268;99.56
1269;99.12
1270;99.16
1271;99.4
1272;99.88
1273;98.96
1274;97.6
1275;96.48
1276;99.72
1277;98.68
1278;98.32
1279;99.12
1280;99.12
1281;99.6
1282;99.6
1283;99.84
1284;99.88
1285;98.56
1286;99.44
1287;99.24
1288;99.6
1289;99.84
1290;99.68
1291;99.64
1292;99.52
1293;99.2
1294;99
1295;98.52
1296;99.6
1297;99.48
1298;98.48
1299;99.56
1300;99.76
1301;99.8
1302;99.72
1303;99.44
1304;99.68
1305;99.8
1306;99.68
1307;99.12
1308;98.36
1309;99.76
1310;99.4
1311;98.04
1312;99.8
1313;98.96
1314;99.56
1315;98.52
1316;99.16
1317;99.6
1318;99.8
1319;99.52
1320;95.6
1321;99.68
1322;99.8
1323;99.56
1324;-101.04
1325;99.48
1326;97.2
1327;98.76
1328;99.16
1329;98.48
1330;98.56
1331;99.64
1332;99.24
1333;99.84
1334;98.76
1335;98.76
1336;98.48
1337;99.72
1338;99.72
1339;99.56
1340;99.64
1341;99.8
1342;98.84
1343;99.56
1344;99.6
1345;99.8
1346;99.88
1347;99.52
1348;98.36
1349;99.8
1350;99.88
1351;99.2
1352;99.8
1353;99.8
1354;99.2
1355;99.12
1356;99.48
1357;99.88
1358;99.76
1359;99.56
1360;99.28
1361;99.84
1362;99.88
1363;98.24
1364;98.12
1365;99.64
1366;99.88
1367;99.84
1368;99.2
1369;99.84
1370;99.28
1371;99.88
1372;99.72
1373;99.88
1374;99.88
1375;99.28
1376;98.6
1377;99.72
1378;99.68
1379;99.08
1380;99.8
1381;99.48
1382;99.8
1383;99.84
1384;99.52
1385;99.48
1386;98.08
1387;97.48
1388;99.4
1389;98.96
1390;99.68
1391;99.88
1392;98.88
1393;99.88
1394;99.56
1395;98.72
1396;99.16
1397;99.6
1398;99.04
1399;99.52
1400;-100.96
1401;99.44
1402;99.32
1403;99.72
1404;98.68
1405;98.8
1406;99.2
1407;99.8
1408;97.24
1409;99.64
1410;99.68
1411;98.88
1412;99.48
1413;99.28
1414;98.92
1415;99.6
1416;99.72
1417;99.4
1418;99.12
1419;99.88
1420;99.6
1421;99.44
1422;99.08
1423;99.6
1424;99.48
1425;96.8
1426;99.72
1427;99.88
1428;99.6
1429;99.8
1430;96.76
1431;98.64
1432;97.96
1433;99.76
1434;99.04
1435;99.64
1436;99.68
1437;99.84
1438;99.6
1439;99.56
1440;99.08
1441;98.04
1442;99.76
1443;98.4
1444;99.52
1445;99.52
1446;99.44
1447;99.4
1448;99.32
1449;99.8
1450;99.76
1451;99.68
1452;99.88
1453;99.56
1454;98
1455;99.28
1456;99.84
1457;99.72
1458;99.2
1459;99.76
1460;99.2
1461;99.68
1462;99.24
1463;99.68
1464;99.4
1465;99.08
1466;99.8
1467;99.8
1468;99.64
1469;99.32
1470;99.8
1471;99.88
1472;99.88
1473;99.8
1474;98.6
1475;99.56
1476;99.4
1477;99.84
1478;99.76
1479;99.72
1480;99.28
1481;98.44
1482;99.64
1483;98.28
1484;99.72
1485;99.28
1486;98.32
1487;99.48
1488;99.72
1489;99.76
1490;99.64
1491;98.44
1492;99.88
1493;99.76
1494;99.36
1495;99.8
1496;99.64
1497;98.24
1498;99
1499;98.28
1500;99.44
1501;99.48
1502;99.56
1503;99.24
1504;99.04
1505;97.64
1506;99.88
1507;99.56
1508;99.16
1509;98.92
1510;99.32
1511;98.6
1512;99.72
1513;99.84
1514;99.32
1515;98.8
1516;97.76
1517;97.88
1518;99.36
1519;99.84
1520;99.6
1521;98.32
1522;99.68
1523;98.64
1524;98.16
1525;98.8
1526;99.72
1527;99.64
1528;98.92
1529;97.8
1530;99.52
1531;98.88
1532;99.4
1533;99.48
1534;99.24
1535;99.8
1536;99.08
1537;99.6
1538;99.76
1539;98.16
1540;98.56
1541;99.4
1542;99.84
1543;99.72
1544;99.84
1545;99.8
1546;99.56
1547;99.88
1548;99.76
1549;99.8
1550;99.8
1551;99.64
1552;99.88
1553;99.12
1554;99.84
1555;99.2
1556;99.64
1557;99.68
1558;98.88
1559;99.84
1560;99.44
1561;98.72
1562;99.56
1563;99.56
1564;97.92
1565;99.2
1566;99.48
1567;99.6
1568;99.88
1569;98.2
1570;99.6
1571;99.36
1572;98
1573;99.64
1574;95.56
1575;99.44
1576;96.48
1577;98.8
1578;99.52
1579;98.52
1580;99.76
1581;99.68
1582;99.88
1583;98.8
1584;99.88
1585;99.2
1586;98.84
1587;99.8
1588;99.76
1589;99.24
1590;99.8
1591;99.36
1592;99.32
1593;99.08
1594;99.56
1595;99.32
1596;99.64
1597;99.36
1598;99.08
1599;99.8
1600;98.72
1601;99.64
1602;99.32
1603;99.64
1604;98.76
1605;99.84
1606;99.24
1607;99.76
1608;98.92
1609;99.52
1610;99.84
1611;99.08
1612;99.72
1613;98.6
1614;99.6
1615;99.4
1616;99.84
1617;99.24
1618;99.84
1619;98.28
1620;99.36
1621;99.6
1622;97.48
1623;99.56
1624;99.6
1625;99.4
1626;99.8
1627;99.76
1628;99.52
1629;-100.72
1630;99.64
1631;98.96
1632;98.52
1633;99.68
1634;99.68
1635;99.4
1636;98.96
1637;99.48
1638;99.44
1639;99.48
1640;99.88
1641;99.28
1642;98.64
1643;99.24
1644;98.24
1645;98.64
1646;99.8
1647;99.48
1648;99.72
1649;99.88
1650;99.84
1651;98.96
1652;99.72
1653;98.28
1654;99.84
1655;99.8
1656;99.68
1657;98.6
1658;98.6
1659;99.72
1660;99.48
1661;99.32
1662;98.88
1663;99.64
1664;99.8
1665;99.32
1666;99.44
1667;99.64
1668;99.36
1669;98.56
1670;98.96
1671;99.52
1672;99.72
1673;99.36
1674;98.92
1675;99.44
1676;99.2
1677;99.64
1678;99.44
1679;99.28
1680;99.56
1681;99.76
1682;99.36
1683;99.8
1684;99.8
1685;99.68
1686;99.6
1687;99.8
1688;99.84
1689;99.48
1690;99.6
1691;99.4
1692;99.68
1693;99.24
1694;99.52
1695;98.48
1696;97.96
1697;99.48
1698;99.72
1699;99.72
1700;99.56
1701;99.4
1702;99.6
1703;99.64
1704;99.56
1705;99.88
1706;99.88
1707;98.88
1708;98.28
1709;99.04
1710;99.88
1711;99.36
1712;99.68
1713;99.76
1714;99.72
1715;99.84
1716;99.76
1717;99.52
1718;98.88
1719;99.6
1720;99.64
1721;99.36
1722;98.88
1723;99.36
1724;97.96
1725;98.92
1726;99.56
1727;99.84
1728;99.16
1729;98.68
1730;99.8
1731;99
1732;99.04
1733;99.52
1734;99.28
1735;99.88
1736;99.8
1737;99.56
1738;99.52
1739;99.88
1740;99.48
1741;98.96
1742;99.88
1743;99.08
1744;99.84
1745;99.68
1746;99.88
1747;99.56
1748;99.36
1749;99.32
1750;99.84
1751;95.72
1752;99.24
1753;98.84
1754;98.6
1755;98.6
1756;99.68
1757;99.8
1758;99.84
1759;99.08
1760;99.76
1761;99.64
1762;98.36
1763;99.72
1764;99.04
1765;99.72
1766;99.4
1767;99.64
1768;99.64
1769;99.8
1770;99.72
1771;98.04
1772;98.32
1773;98.6
1774;98.84
1775;99.64
1776;99.76
1777;99.64
1778;98.88
1779;99.8
1780;98.72
1781;99.24
1782;99.88
1783;98.92
1784;99.84
1785;99.8
1786;98.04
1787;99.56
1788;99
1789;99.44
1790;98.88
1791;96.68
1792;99.36
1793;99.16
1794;98.76
1795;99.36
1796;99.68
1797;99.72
1798;98.36
1799;99.04
1800;99.88
1801;99.72
1802;99.88
1803;99.32
1804;99.6
1805;98.64
1806;99.64
1807;99.2
1808;99.08
1809;99.2
1810;99.32
1811;99.72
1812;99.4
1813;98.8
1814;99.28
1815;99.52
1816;99.6
1817;99.84
1818;99.88
1819;99.6
1820;99.88
1821;99.36
1822;99.56
1823;99.6
1824;99.8
1825;98.32
1826;98.4
1827;98.6
1828;99.64
1829;99.72
1830;99.72
1831;98.96
1832;97.36
1833;99.88
1834;99.8
1835;99
1836;99.68
1837;98.88
1838;99.76
1839;99.28
1840;99.28
1841;99.36
